cartodb_id,description,name,created_at,updated_at,the_geom,latitude,longitude
246,This is Fresh Pond,Mike F.,2015-04-01 15:11:45.449583+00,2015-04-01 15:11:45.449583+00,0101000020E610000000000080B3C951C01D5E7EFE40314540,42.3847959630041,-71.1515808105469
247,Central Square Train Station,Mike F.,2015-04-01 18:58:19.988005+00,2015-04-01 18:58:19.988005+00,0101000020E610000000000040ABC651C08E096A5DC92E4540,42.3655201690445,-71.1042022705078
